nazwisko,liczba
NOWAK,103439
KOWALSKA,69920
WIŚNIEWSKA,55816
WÓJCIK,50352
KOWALCZYK,49576
KAMIŃSKA,48090
LEWANDOWSKA,47637
ZIELIŃSKA,45988
SZYMAŃSKA,44981
DĄBROWSKA,44557
WOŹNIAK,44544
KOZŁOWSKA,38248
JANKOWSKA,34832
MAZUR,34184
KWIATKOWSKA,33840
WOJCIECHOWSKA,33531
KRAWCZYK,32329
KACZMAREK,31266
PIOTROWSKA,31082
GRABOWSKA,29530
PAWŁOWSKA,28032
MICHALSKA,27762
ZAJĄC,27539
KRÓL,27513
WIECZOREK,25765
JABŁOŃSKA,25641
WRÓBEL,25211
NOWAKOWSKA,25196
MAJEWSKA,24954
OLSZEWSKA,24266
ADAMCZYK,23951
JAWORSKA,23830
MALINOWSKA,23781
STĘPIEŃ,23729
DUDEK,23344
GÓRSKA,23109
NOWICKA,23088
PAWLAK,22598
WITKOWSKA,22534
SIKORA,22291
RUTKOWSKA,22190
WALCZAK,22179
MICHALAK,21448
SZEWCZYK,21323
OSTROWSKA,21215
BARAN,20721
TOMASZEWSKA,20344
PIETRZAK,19847
ZALEWSKA,19804
WRÓBLEWSKA,19783
MARCINIAK,19471
JASIŃSKA,19442
JAKUBOWSKA,19155
SADOWSKA,19118
ZAWADZKA,18933
DUDA,18450
BĄK,18226
WŁODARCZYK,18203
CHMIELEWSKA,17996
BORKOWSKA,17996
WILK,17608
SOKOŁOWSKA,17605
SZCZEPAŃSKA,17393
SAWICKA,17205
LIS,16807
KUCHARSKA,16695
MACIEJEWSKA,16463
KALINOWSKA,16360
MAZUREK,16305
WYSOCKA,16256
KUBIAK,16229
KOŁODZIEJ,15764
CZARNECKA,15425
KAŹMIERCZAK,15264
URBAŃSKA,14600
SOBCZAK,14319
GŁOWACKA,14252
KRAJEWSKA,14242
KRUPA,14225
SIKORSKA,14186
ZAKRZEWSKA,14170
ZIÓŁKOWSKA,13958
LASKOWSKA,13939
WASILEWSKA,13924
GAJEWSKA,13699
MRÓZ,13671
SZULC,13611
MAKOWSKA,13576
BRZEZIŃSKA,13475
PRZYBYLSKA,13406
BARANOWSKA,13359
SZYMCZAK,13336
KACZMARCZYK,13323
ADAMSKA,13228
BŁASZCZYK,13138
BOROWSKA,13064
GÓRECKA,13003
SZCZEPANIAK,12899
KANIA,12895
JANIK,12859
LESZCZYŃSKA,12845
CZERWIŃSKA,12808
CHOJNACKA,12751
LIPIŃSKA,12627
KOWALEWSKA,12564
WESOŁOWSKA,12564
ANDRZEJEWSKA,12481
MIKOŁAJCZYK,12465
KOZAK,12427
MUCHA,12304
JAROSZ,12213
KONIECZNA,12184
CIEŚLAK,12179
KOZIOŁ,12101
ZIĘBA,12034
MARKOWSKA,11970
KOWALIK,11943
KOŁODZIEJCZYK,11887
MUSIAŁ,11819
BRZOZOWSKA,11707
DOMAŃSKA,11586
PAWLIK,11437
TOMCZYK,11418
ORŁOWSKA,11376
TOMCZAK,11366
NOWACKA,11363
KOPEĆ,11342
PIĄTEK,11334
ŻAK,11243
CIESIELSKA,11237
KUREK,11160
MARKIEWICZ,11085
WÓJTOWICZ,11077
WAWRZYNIAK,11074
WOLSKA,11027
POLAK,10963
KOT,10875
KRUK,10854
