NAZWISKO,LICZBA
NOWAK,101473
KOWALSKI,68692
WIŚNIEWSKI,54559
WÓJCIK,49112
KOWALCZYK,48352
KAMIŃSKI,47102
LEWANDOWSKI,45727
ZIELIŃSKI,45001
SZYMAŃSKI,43825
WOŹNIAK,43825
DĄBROWSKI,42817
KOZŁOWSKI,37347
JANKOWSKI,34133
MAZUR,34033
KWIATKOWSKI,32813
WOJCIECHOWSKI,32460
KRAWCZYK,31394
KACZMAREK,30776
PIOTROWSKI,30191
GRABOWSKI,28792
ZAJĄC,27740
PAWŁOWSKI,27484
KRÓL,27156
MICHALSKI,26856
WRÓBEL,25310
WIECZOREK,24929
JABŁOŃSKI,24804
NOWAKOWSKI,24355
MAJEWSKI,24283
OLSZEWSKI,23861
STĘPIEŃ,23344
DUDEK,23314
JAWORSKI,23238
ADAMCZYK,23171
MALINOWSKI,23105
GÓRSKI,22417
PAWLAK,22378
NOWICKI,22320
SIKORA,22186
WITKOWSKI,21881
RUTKOWSKI,21654
WALCZAK,21530
BARAN,21207
MICHALAK,20943
SZEWCZYK,20729
OSTROWSKI,20629
TOMASZEWSKI,19843
ZALEWSKI,19457
WRÓBLEWSKI,19237
PIETRZAK,19001
JASIŃSKI,18956
MARCINIAK,18684
SADOWSKI,18630
BĄK,18589
ZAWADZKI,18480
DUDA,18407
JAKUBOWSKI,18315
WILK,17769
CHMIELEWSKI,17659
WŁODARCZYK,17340
BORKOWSKI,17338
SOKOŁOWSKI,16975
SZCZEPAŃSKI,16894
SAWICKI,16810
LIS,16610
KUCHARSKI,16253
KALINOWSKI,15965
MAZUREK,15933
WYSOCKI,15924
KUBIAK,15833
MACIEJEWSKI,15819
KOŁODZIEJ,15343
KAŹMIERCZAK,15008
CZARNECKI,14864
SOBCZAK,14329
KONIECZNY,14279
KRUPA,14057
GŁOWACKI,14027
URBAŃSKI,13999
ZAKRZEWSKI,13824
MRÓZ,13821
KRAJEWSKI,13802
WASILEWSKI,13790
SIKORSKI,13628
LASKOWSKI,13627
ZIÓŁKOWSKI,13527
SZULC,13349
GAJEWSKI,13337
MAKOWSKI,13337
KACZMARCZYK,13156
BRZEZIŃSKI,13136
BARANOWSKI,13078
PRZYBYLSKI,12923
SZYMCZAK,12874
KANIA,12823
JANIK,12803
BŁASZCZYK,12800
BOROWSKI,12787
KOZAK,12733
ADAMSKI,12711
GÓRECKI,12641
SZCZEPANIAK,12576
CHOJNACKI,12459
KOZIOŁ,12321
LESZCZYŃSKI,12319
CZERWIŃSKI,12304
LIPIŃSKI,12296
MUCHA,12292
KOWALEWSKI,12236
ANDRZEJEWSKI,12200
WESOŁOWSKI,12163
MIKOŁAJCZYK,12101
CIEŚLAK,11964
ZIĘBA,11908
JAROSZ,11904
MUSIAŁ,11700
MARKOWSKI,11668
KOWALIK,11657
KOŁODZIEJCZYK,11539
KOPEĆ,11435
BRZOZOWSKI,11350
ŻAK,11265
NOWACKI,11264
PIĄTEK,11235
